period,analysis_label,geo,spec,estimator,cmur_mode,years,n_years,CMUR,DMC,RMC,TERR,CFOOT
LATE_2017_2023,primary,LV,primary_common_pc,OLS,pp,2017-2023,7,0.032142857142855405,-0.01716655760034209,0.004321857478202613,0.01183330778229837,0.0009471703204901561
LATE_2017_2023,primary,LT,primary_common_pc,OLS,pp,2017-2023,7,-0.04642857142856789,-0.02614483928234902,-0.009193411333649669,0.016321646249141845,0.009770733683091424
LATE_2017_2023,primary,LU,primary_common_pc,OLS,pp,2017-2023,7,0.017857142857177922,0.013319374295427637,0.020687194375417058,0.07100114107107833,0.042043334162062816
LATE_2017_2023,primary,MT,primary_common_pc,OLS,pp,2017-2023,7,2.4678571428571243,0.0171165662123953,0.02171503887929244,0.005486496545593817,-0.02266441229388954
LATE_2017_2023,primary,NL,primary_common_pc,OLS,pp,2017-2023,7,0.5250000000000097,0.03411546346203761,-0.0018410189220277365,0.05625491564980315,0.03381118449342473
LATE_2017_2023,primary,PL,primary_common_pc,OLS,pp,2017-2023,7,-0.6285714285714215,0.0032555961350472285,0.012116567770371582,0.01398172364951281,0.006446850441273002
LATE_2017_2023,primary,PT,primary_common_pc,OLS,pp,2017-2023,7,0.20714285714285935,0.017968771016895355,0.02244764165996028,0.058367239095737294,0.03383427477528997
LATE_2017_2023,primary,RO,primary_common_pc,OLS,pp,2017-2023,7,-0.03571428571428338,-0.048911203017876576,-0.0502297240850841,0.014389619321942689,-0.019102406896855533
LATE_2017_2023,primary,SK,primary_common_pc,OLS,pp,2017-2023,7,1.1714285714285482,0.027428387586045173,-0.0024124908867205782,0.026292144607502156,-0.0011992899905680647
LATE_2017_2023,primary,SI,primary_common_pc,OLS,pp,2017-2023,7,-0.17142857142857904,-0.017072301330660296,-0.01177413612027543,0.03498511857607845,0.00878625842120919
LATE_2017_2023,primary,ES,primary_common_pc,OLS,pp,2017-2023,7,-0.02857142857142791,0.004673384363481103,0.01136433150122258,0.03962451133067741,0.010981736608086762
LATE_2017_2023,primary,SE,primary_common_pc,OLS,pp,2017-2023,7,0.8678571428571678,0.011391935732577678,0.018718985562461352,0.036442242553281344,0.04932797833736806
LATE_2017_2023,published_pc,AT,published_pc,OLS,pp,2017-2023,7,0.25357142857144127,0.007400070516042283,0.0029983771817323535,0.033324729477822314,0.010911677592733121
LATE_2017_2023,published_pc,BE,published_pc,OLS,pp,2017-2023,7,0.1392857142856917,0.005504959146771051,0.04647609777206983,0.03551516390023618,0.025821391920170703
LATE_2017_2023,published_pc,BG,published_pc,OLS,pp,2017-2023,7,0.214285714285694,-0.027635053194874363,-0.04569909682688128,0.015565552260396347,-0.022200121865695435
LATE_2017_2023,published_pc,HR,published_pc,OLS,pp,2017-2023,7,0.2607142857142874,-0.03184190442776292,-0.002040003117879913,-0.006127168914198443,-0.029451836901221492
LATE_2017_2023,published_pc,CY,published_pc,OLS,pp,2017-2023,7,0.8071428571428721,-0.013381724959374272,-0.015115628512875795,0.018089970079998418,0.016489192707785226
LATE_2017_2023,published_pc,CZ,published_pc,OLS,pp,2017-2023,7,0.5535714285714307,0.015175348217878833,0.01645903655795526,0.03616520436032198,0.015251560665857998
LATE_2017_2023,published_pc,DK,published_pc,OLS,pp,2017-2023,7,0.25714285714286805,0.007606404369075375,0.0032748349193724375,0.04367274987643094,0.0277644585793396
LATE_2017_2023,published_pc,EE,published_pc,OLS,pp,2017-2023,7,1.5964285714285786,0.04247705866780099,0.04427390190047098,0.10415704529761097,0.0655131480175805
LATE_2017_2023,published_pc,FI,published_pc,OLS,pp,2017-2023,7,-0.10000000000000644,0.0019118076686018555,0.005790063939364554,0.05136651725732371,0.04892865376853404
LATE_2017_2023,published_pc,FR,published_pc,OLS,pp,2017-2023,7,-0.48571428571424624,0.011942317238543483,0.021528772985734825,0.036608907366846785,0.022539579550373594
LATE_2017_2023,published_pc,DE,published_pc,OLS,pp,2017-2023,7,0.3285714285714277,0.030295990483609606,-0.0025066321398833843,0.04231445891362873,0.024090552470442807
LATE_2017_2023,published_pc,EL,published_pc,OLS,pp,2017-2023,7,0.5928571428571477,0.0294771739536721,0.023284239563413432,0.043256414627432266,0.0169674677453701
LATE_2017_2023,published_pc,HU,published_pc,OLS,pp,2017-2023,7,-0.14999999999998634,0.021326327782073985,0.001586014150268495,0.023395657168769967,-0.0064385734923123675
LATE_2017_2023,published_pc,IE,published_pc,OLS,pp,2017-2023,7,0.042857142857144974,0.011653166986680395,-0.003401638928642687,0.030625478183192566,0.04201077392698965
LATE_2017_2023,published_pc,IT,published_pc,OLS,pp,2017-2023,7,0.5000000000000034,-0.006636172747751714,0.0044956976082309395,0.013162040211894236,0.0009211520014772216
LATE_2017_2023,published_pc,LV,published_pc,OLS,pp,2017-2023,7,0.032142857142855405,-0.01716550733238927,0.004321907808144421,0.011040199504609084,0.0005928859507534035
LATE_2017_2023,published_pc,LT,published_pc,OLS,pp,2017-2023,7,-0.04642857142856789,-0.026144761029194906,-0.009193312755516745,0.017268608586288182,0.009770731399869302
LATE_2017_2023,published_pc,LU,published_pc,OLS,pp,2017-2023,7,0.017857142857177922,0.013321027891103905,0.02068808386103023,0.07177769998222076,0.04204333646120103
LATE_2017_2023,published_pc,MT,published_pc,OLS,pp,2017-2023,7,2.4678571428571243,0.01711699936324622,0.021722491854716308,0.007810398360282635,-0.022664413404744965
LATE_2017_2023,published_pc,NL,published_pc,OLS,pp,2017-2023,7,0.5250000000000097,0.034118166596166274,-0.0018317905385755958,0.05535387127508794,0.03381117634286593
LATE_2017_2023,published_pc,PL,published_pc,OLS,pp,2017-2023,7,-0.6285714285714215,0.003257091629254893,0.012118230938126317,0.013073028955916834,0.006446850983373771
